"","9:1 - O","9:1 - E","2:1 - O","2:1 - E","1:2 - O","1:2 - E","1:9 - O","1:9 - E"
"1",0.87,0.9,0.6,0.66,0.42,0.33,0,0.1
"2",0.16,0.9,0.83,0.66,0.38,0.33,0.17,0.1
"3",0.88,0.9,0.81,0.66,0.42,0.33,0.19,0.1
"4",0.86,0.9,0.73,0.66,0.02,0.33,0.17,0.1
"5",0.16,0.9,0.83,0.66,0.57,0.33,0,0.1
"6",0.91,0.9,0.06,0.66,0.41,0.33,0.23,0.1
"7",0.81,0.9,0.52,0.66,0.32,0.33,0.07,0.1
"8",0.74,0.9,0.71,0.66,0.29,0.33,0,0.1
"9",0.93,0.9,0.06,0.66,0.44,0.33,0.05,0.1
"10",0.92,0.9,0.7,0.66,0.3,0.33,0.14,0.1
"11",NA,NA,0.8,0.66,0.3,0.33,0,0.1
"12",NA,NA,NA,NA,NA,NA,0.09,0.1
