"","Recruit_ID","Treatment","Tank","Day","polyp_area","nDay"
"1","31","CWT+DHE","T1","11",0.189,11
"2","31","CWT+DHE","T1","18",0.235,18
"3","31","CWT+DHE","T1","24",0.256,24
"4","31","CWT+DHE","T1","38",0.283,38
"5","31","CWT+DHE","T1","46",0.335,46
"6","31","CWT+DHE","T1","54",0.38,54
"7","31","CWT+DHE","T1","60",0.505,60
"8","31","CWT+DHE","T1","67",0.422,67
"9","52","CWT+DHE","T1","11",0.507,11
"10","52","CWT+DHE","T1","18",0.457,18
"11","52","CWT+DHE","T1","24",0.497,24
"12","52","CWT+DHE","T1","38",0.578,38
"13","52","CWT+DHE","T1","46",0.799,46
"14","52","CWT+DHE","T1","54",1.185,54
"15","52","CWT+DHE","T1","60",1.438,60
"16","52","CWT+DHE","T1","67",1.635,67
"17","53","CWT+DHE","T1","11",0.42,11
"18","53","CWT+DHE","T1","18",0.41,18
"19","53","CWT+DHE","T1","24",0.407,24
"20","53","CWT+DHE","T1","38",0.942,38
"21","53","CWT+DHE","T1","46",2.3,46
"22","53","CWT+DHE","T1","54",2.463,54
"23","53","CWT+DHE","T1","60",2.746,60
"24","53","CWT+DHE","T1","67",2.7,67
"25","65","CWT+DHE","T1","11",0.237,11
"26","65","CWT+DHE","T1","18",0.298,18
"27","65","CWT+DHE","T1","24",0.268,24
"28","65","CWT+DHE","T1","38",0.301,38
"29","65","CWT+DHE","T1","46",0.326,46
"30","65","CWT+DHE","T1","54",0.418,54
"31","65","CWT+DHE","T1","60",0.447,60
"32","65","CWT+DHE","T1","67",0.366,67
"33","78","CWT+DHE","T1","11",0.129,11
"34","78","CWT+DHE","T1","18",0.264,18
"35","78","CWT+DHE","T1","24",0.259,24
"36","78","CWT+DHE","T1","38",0.287,38
"37","78","CWT+DHE","T1","46",0.287,46
"38","78","CWT+DHE","T1","54",0.33,54
"39","78","CWT+DHE","T1","60",0.379,60
"40","78","CWT+DHE","T1","67",0.561,67
"41","79","CWT+DHE","T1","11",0.053,11
"42","79","CWT+DHE","T1","18",0.141,18
"43","79","CWT+DHE","T1","24",0.151,24
"44","79","CWT+DHE","T1","38",0.146,38
"45","79","CWT+DHE","T1","46",0.221,46
"46","79","CWT+DHE","T1","54",0.307,54
"47","79","CWT+DHE","T1","60",0.427,60
"48","79","CWT+DHE","T1","67",0.468,67
"49","80","CWT+DHE","T1","11",0.283,11
"50","80","CWT+DHE","T1","18",0.353,18
"51","80","CWT+DHE","T1","24",0.34,24
"52","80","CWT+DHE","T1","38",0.348,38
"53","80","CWT+DHE","T1","46",0.521,46
"54","80","CWT+DHE","T1","54",0.548,54
"55","80","CWT+DHE","T1","60",0.612,60
"56","80","CWT+DHE","T1","67",0.563,67
"57","81","CWT+DHE","T1","11",0.246,11
"58","81","CWT+DHE","T1","18",0.318,18
"59","81","CWT+DHE","T1","24",0.417,24
"60","81","CWT+DHE","T1","38",0.466,38
"61","81","CWT+DHE","T1","46",0.81,46
"62","81","CWT+DHE","T1","54",0.876,54
"63","81","CWT+DHE","T1","60",1.16,60
"64","81","CWT+DHE","T1","67",1.497,67
"65","117","CWT+DHE","T1","11",0.265,11
"66","117","CWT+DHE","T1","18",0.318,18
"67","117","CWT+DHE","T1","24",0.526,24
"68","117","CWT+DHE","T1","38",0.518,38
"69","117","CWT+DHE","T1","46",0.59,46
"70","117","CWT+DHE","T1","54",0.669,54
"71","117","CWT+DHE","T1","60",0.748,60
"72","117","CWT+DHE","T1","67",0.88,67
"73","132","CWT+DHE","T1","11",0.394,11
"74","132","CWT+DHE","T1","18",0.325,18
"75","132","CWT+DHE","T1","24",0.403,24
"76","132","CWT+DHE","T1","38",0.572,38
"77","132","CWT+DHE","T1","46",0.807,46
"78","132","CWT+DHE","T1","54",0.997,54
"79","132","CWT+DHE","T1","60",2.14,60
"80","132","CWT+DHE","T1","67",2.99,67
"81","137","CWT+DHE","T1","11",0.416,11
"82","137","CWT+DHE","T1","18",0.346,18
"83","137","CWT+DHE","T1","24",0.348,24
"84","137","CWT+DHE","T1","38",0.508,38
"85","137","CWT+DHE","T1","46",1.177,46
"86","137","CWT+DHE","T1","54",1.162,54
"87","137","CWT+DHE","T1","60",1.979,60
"88","137","CWT+DHE","T1","67",2.372,67
"89","156","CWT+DHE","T1","11",0.354,11
"90","156","CWT+DHE","T1","18",0.459,18
"91","156","CWT+DHE","T1","24",0.526,24
"92","156","CWT+DHE","T1","38",0.836,38
"93","156","CWT+DHE","T1","46",1.657,46
"94","156","CWT+DHE","T1","54",1.678,54
"95","156","CWT+DHE","T1","60",2.388,60
"96","156","CWT+DHE","T1","67",2.246,67
"97","157","CWT+DHE","T1","11",0.467,11
"98","157","CWT+DHE","T1","18",0.518,18
"99","157","CWT+DHE","T1","24",0.584,24
"100","157","CWT+DHE","T1","38",0.495,38
"101","157","CWT+DHE","T1","46",1.029,46
"102","157","CWT+DHE","T1","54",1.041,54
"103","157","CWT+DHE","T1","60",1.407,60
"104","157","CWT+DHE","T1","67",1.357,67
"105","1000","CWT+DHE","T1","11",0.312,11
"106","1000","CWT+DHE","T1","18",0.25,18
"107","1000","CWT+DHE","T1","24",0.298,24
"108","1000","CWT+DHE","T1","38",0.402,38
"109","1000","CWT+DHE","T1","46",0.872,46
"110","1000","CWT+DHE","T1","54",0.923,54
"111","1000","CWT+DHE","T1","60",1.103,60
"112","1000","CWT+DHE","T1","67",1.321,67
"113","1001","CWT+DHE","T1","11",0.415,11
"114","1001","CWT+DHE","T1","18",0.438,18
"115","1001","CWT+DHE","T1","24",0.483,24
"116","1001","CWT+DHE","T1","54",0.33,54
"117","1002","CWT+DHE","T1","11",0.115,11
"118","1002","CWT+DHE","T1","18",0.143,18
"119","1002","CWT+DHE","T1","24",0.098,24
"120","1003","CWT+DHE","T1","11",0.138,11
"121","1003","CWT+DHE","T1","18",0.337,18
"122","1003","CWT+DHE","T1","24",0.252,24
"123","1003","CWT+DHE","T1","38",0.335,38
"124","1003","CWT+DHE","T1","46",0.334,46
"125","1005","CWT+DHE","T1","11",0.29,11
"126","1005","CWT+DHE","T1","18",0.255,18
"127","1005","CWT+DHE","T1","24",0.224,24
"128","1006","CWT+DHE","T1","11",0.464,11
"129","1006","CWT+DHE","T1","18",0.375,18
"130","1006","CWT+DHE","T1","24",0.446,24
"131","1007","CWT+DHE","T1","11",0.395,11
"132","1007","CWT+DHE","T1","18",0.424,18
"133","1007","CWT+DHE","T1","24",0.434,24
"134","1008","CWT+DHE","T1","11",0.086,11
"135","1008","CWT+DHE","T1","18",0.184,18
"136","1008","CWT+DHE","T1","24",0.33,24
"137","1008","CWT+DHE","T1","38",0.364,38
"138","1010","CWT+DHE","T1","11",0.13,11
"139","1010","CWT+DHE","T1","18",0.229,18
"140","1010","CWT+DHE","T1","24",0.202,24
"141","1011","CWT+DHE","T1","11",0.467,11
"142","1011","CWT+DHE","T1","18",0.485,18
"143","1011","CWT+DHE","T1","24",0.482,24
"144","1013","CWT+DHE","T1","11",0.189,11
"145","1013","CWT+DHE","T1","18",0.199,18
"146","1013","CWT+DHE","T1","24",0.244,24
"147","1014","CWT+DHE","T1","11",0.313,11
"148","1014","CWT+DHE","T1","18",0.344,18
"149","1014","CWT+DHE","T1","24",0.375,24
"150","1016","CWT+DHE","T1","11",0.17,11
"151","1016","CWT+DHE","T1","18",0.219,18
"152","1016","CWT+DHE","T1","24",0.261,24
"153","1017","CWT+DHE","T1","11",0.301,11
"154","1018","CWT+DHE","T1","11",0.385,11
"155","1020","CWT+DHE","T1","11",0.147,11
"156","1020","CWT+DHE","T1","18",0.089,18
"157","1021","CWT+DHE","T1","11",0.062,11
"158","1021","CWT+DHE","T1","18",0.085,18
"159","1022","CWT+DHE","T1","11",0.343,11
"160","1023","CWT+DHE","T1","11",0.33,11
"161","1024","CWT+DHE","T1","11",0.265,11
"162","1025","CWT+DHE","T1","11",0.173,11
"163","709","DHE","T3","11",0.112,11
"164","709","DHE","T3","18",0.096,18
"165","709","DHE","T3","24",0.099,24
"166","709","DHE","T3","38",0.131,38
"167","709","DHE","T3","46",0.263,46
"168","709","DHE","T3","54",0.337,54
"169","709","DHE","T3","60",0.417,60
"170","709","DHE","T3","67",0.568,67
"171","766","DHE","T3","11",0.03,11
"172","766","DHE","T3","18",0.061,18
"173","766","DHE","T3","24",0.085,24
"174","766","DHE","T3","38",0.112,38
"175","766","DHE","T3","46",0.239,46
"176","766","DHE","T3","54",0.208,54
"177","766","DHE","T3","60",0.28,60
"178","766","DHE","T3","67",0.357,67
"179","1055","DHE","T3","11",0.103,11
"180","1055","DHE","T3","18",0.287,18
"181","1055","DHE","T3","24",0.298,24
"182","1056","DHE","T3","11",0.151,11
"183","1056","DHE","T3","18",0.13,18
"184","1056","DHE","T3","24",0.123,24
"185","1056","DHE","T3","38",0.287,38
"186","1056","DHE","T3","46",0.441,46
"187","1056","DHE","T3","54",0.657,54
"188","1056","DHE","T3","60",0.831,60
"189","1056","DHE","T3","67",0.771,67
"190","1057","DHE","T3","11",0.075,11
"191","1057","DHE","T3","18",0.124,18
"192","1057","DHE","T3","24",0.117,24
"193","1057","DHE","T3","38",0.168,38
"194","1057","DHE","T3","46",0.289,46
"195","1057","DHE","T3","54",0.387,54
"196","1057","DHE","T3","60",0.6,60
"197","1057","DHE","T3","67",0.777,67
"198","1058","DHE","T3","11",0.062,11
"199","1058","DHE","T3","18",0.184,18
"200","1058","DHE","T3","24",0.242,24
"201","1058","DHE","T3","38",0.422,38
"202","1058","DHE","T3","46",0.884,46
"203","1058","DHE","T3","54",1.228,54
"204","1058","DHE","T3","60",1.376,60
"205","1058","DHE","T3","67",1.463,67
"206","1059","DHE","T3","11",0.174,11
"207","1059","DHE","T3","18",0.111,18
"208","1059","DHE","T3","24",0.11,24
"209","1059","DHE","T3","38",0.315,38
"210","1059","DHE","T3","46",0.425,46
"211","1059","DHE","T3","54",0.461,54
"212","1059","DHE","T3","60",0.648,60
"213","1059","DHE","T3","67",0.815,67
"214","1060","DHE","T3","11",0.162,11
"215","1060","DHE","T3","18",0.219,18
"216","1060","DHE","T3","24",0.219,24
"217","1060","DHE","T3","38",0.415,38
"218","1060","DHE","T3","46",0.654,46
"219","1060","DHE","T3","54",0.8,54
"220","1060","DHE","T3","60",1.062,60
"221","1060","DHE","T3","67",1.258,67
"222","1061","DHE","T3","11",0.313,11
"223","1061","DHE","T3","18",0.303,18
"224","1061","DHE","T3","24",0.299,24
"225","1061","DHE","T3","38",0.397,38
"226","1061","DHE","T3","46",0.652,46
"227","1061","DHE","T3","54",0.744,54
"228","1061","DHE","T3","60",1.115,60
"229","1061","DHE","T3","67",1.292,67
"230","1062","DHE","T3","11",0.266,11
"231","1062","DHE","T3","18",0.24,18
"232","1062","DHE","T3","24",0.226,24
"233","1062","DHE","T3","38",0.446,38
"234","1062","DHE","T3","46",0.661,46
"235","1062","DHE","T3","54",0.793,54
"236","1062","DHE","T3","60",0.996,60
"237","1062","DHE","T3","67",1.055,67
"238","1063","DHE","T3","11",0.081,11
"239","1063","DHE","T3","18",0.076,18
"240","1063","DHE","T3","24",0.07,24
"241","1063","DHE","T3","38",0.183,38
"242","1063","DHE","T3","46",0.241,46
"243","1063","DHE","T3","54",0.256,54
"244","1063","DHE","T3","60",0.312,60
"245","1063","DHE","T3","67",0.32,67
"246","1065","DHE","T3","11",0.185,11
"247","1065","DHE","T3","18",0.315,18
"248","1065","DHE","T3","24",0.304,24
"249","1065","DHE","T3","38",0.699,38
"250","1065","DHE","T3","46",1.285,46
"251","1065","DHE","T3","54",1.33,54
"252","1065","DHE","T3","60",1.685,60
"253","1065","DHE","T3","67",1.754,67
"254","1067","DHE","T3","11",0.109,11
"255","1067","DHE","T3","18",0.154,18
"256","1067","DHE","T3","24",0.195,24
"257","1067","DHE","T3","38",0.457,38
"258","1067","DHE","T3","46",0.79,46
"259","1067","DHE","T3","54",1.087,54
"260","1067","DHE","T3","60",1.402,60
"261","1067","DHE","T3","67",1.524,67
"262","1068","DHE","T3","11",0.118,11
"263","1068","DHE","T3","18",0.13,18
"264","1068","DHE","T3","24",0.136,24
"265","1068","DHE","T3","38",0.322,38
"266","1068","DHE","T3","46",0.663,46
"267","1068","DHE","T3","54",0.874,54
"268","1068","DHE","T3","60",1.054,60
"269","1068","DHE","T3","67",1.071,67
"270","1069","DHE","T3","11",0.169,11
"271","1069","DHE","T3","18",0.183,18
"272","1069","DHE","T3","24",0.155,24
"273","1069","DHE","T3","38",0.414,38
"274","1069","DHE","T3","46",0.564,46
"275","1069","DHE","T3","54",0.495,54
"276","1069","DHE","T3","60",0.564,60
"277","1069","DHE","T3","67",0.636,67
"278","1070","DHE","T3","11",0.226,11
"279","1070","DHE","T3","18",0.256,18
"280","1070","DHE","T3","24",0.405,24
"281","1070","DHE","T3","38",1.812,38
"282","1070","DHE","T3","46",2.577,46
"283","1070","DHE","T3","54",2.806,54
"284","1070","DHE","T3","60",3.703,60
"285","1070","DHE","T3","67",4.632,67
"286","1071","DHE","T3","11",0.07,11
"287","1071","DHE","T3","18",0.117,18
"288","1071","DHE","T3","24",0.204,24
"289","1071","DHE","T3","38",0.14,38
