"","Treatment","Day","n_recruits","sd","se","area","use","lse"
"1","CHE",11,4,0.0156440564352741,0.00782202821763705,0.128450680452457,0.136272708670094,0.12062865223482
"2","CHE",18,4,0.0253170862391973,0.0126585431195986,0.150357684216923,0.163016227336522,0.137699141097325
"3","CHE",24,4,0.0330302463899571,0.0165151231949785,0.169007018837019,0.185522142031997,0.15249189564204
"4","CHE",38,4,0.0834173138685524,0.0417086569342762,0.269251116388584,0.310959773322861,0.227542459454308
"5","CHE",46,4,0.17851234405294,0.0892561720264698,0.44606610373618,0.53532227576265,0.356809931709711
"6","CHE",54,4,0.194471346295811,0.0972356731479056,0.542536846678471,0.639772519826376,0.445301173530565
"7","CHE",60,4,0.206792391727906,0.103396195863953,0.629750850079162,0.733147045943115,0.526354654215209
"8","CHE",67,4,0.239406669395964,0.119703334697982,0.727434942455243,0.847138277153225,0.607731607757261
"9","CHE",70,4,0.287921250768969,0.143960625384484,0.810879092261905,0.954839717646389,0.66691846687742
"10","CWT+DHE",11,4,0.0591538592394524,0.0295769296197262,0.204787423554666,0.234364353174392,0.17521049393494
"11","CWT+DHE",18,4,0.0598826189543368,0.0299413094771684,0.226822682087192,0.25676399156436,0.196881372610024
"12","CWT+DHE",24,4,0.065101771881024,0.032550885940512,0.280791600657161,0.313342486597673,0.248240714716649
"13","CWT+DHE",38,4,0.0154500943787973,0.00772504718939863,0.462025613839286,0.469750661028684,0.454300566649887
"14","CWT+DHE",46,4,0.102985991672542,0.0514929958362711,0.75185979020979,0.803352786046061,0.700366794373519
"15","CWT+DHE",54,4,0.0672273159540684,0.0336136579770342,0.922967265133902,0.956580923110936,0.889353607156868
"16","CWT+DHE",60,4,0.16702414774666,0.0835120738733302,1.12969200949367,1.213204083367,1.04617993562034
"17","CWT+DHE",67,4,0.197782943877307,0.0988914719386536,1.14047316247582,1.23936463441448,1.04158169053717
"18","CWT+DHE",70,4,0.36637888881049,0.183189444405245,1.33830448717949,1.52149393158473,1.15511504277424
"19","CHE+DWT",11,4,0.0255348496688109,0.0127674248344054,0.212841617178023,0.225609042012428,0.200074192343617
"20","CHE+DWT",18,4,0.0226824717065295,0.0113412358532647,0.239267472703328,0.250608708556593,0.227926236850063
"21","CHE+DWT",24,4,0.0366775113544146,0.0183387556772073,0.279801017641352,0.298139773318559,0.261462261964144
"22","CHE+DWT",38,4,0.0910251405671551,0.0455125702835775,0.36417958721749,0.409692157501068,0.318667016933913
"23","CHE+DWT",46,4,0.113446042559111,0.0567230212795553,0.571863706231045,0.6285867275106,0.51514068495149
"24","CHE+DWT",54,4,0.0698179052388382,0.0349089526194191,0.800977850244786,0.835886802864205,0.766068897625367
"25","CHE+DWT",60,4,0.0939379097049616,0.0469689548524808,1.00338979528536,1.05035875013784,0.956420840432879
"26","CHE+DWT",67,4,0.106005235479447,0.0530026177397235,1.18686496760408,1.2398675853438,1.13386234986436
"27","CHE+DWT",70,4,0.153978476114841,0.0769892380574205,1.29720988207195,1.37419912012937,1.22022064401453
"28","CWT+DWT",11,4,0.0191857964665776,0.00959289823328882,0.185983151469317,0.195576049702606,0.176390253236028
"29","CWT+DWT",18,4,0.00645953942747048,0.00322976971373524,0.192685764524481,0.195915534238216,0.189455994810746
"30","CWT+DWT",24,4,0.0103417297084443,0.00517086485422216,0.256654693041951,0.261825557896173,0.251483828187729
"31","CWT+DWT",38,4,0.0375999961927691,0.0187999980963845,0.469086162413368,0.487886160509753,0.450286164316984
"32","CWT+DWT",46,4,0.0423300865792015,0.0211650432896007,0.922715134825429,0.94388017811503,0.901550091535828
"33","CWT+DWT",54,4,0.171599896926341,0.0857999484631703,1.28984025442907,1.37564020289224,1.2040403059659
"34","CWT+DWT",60,4,0.362158719389368,0.181079359694684,1.61224568588675,1.79332504558143,1.43116632619206
"35","CWT+DWT",67,4,0.517000954803293,0.258500477401647,1.85942668969875,2.11792716710039,1.6009262122971
"36","CWT+DWT",70,4,0.482130081451841,0.24106504072592,1.96401017902518,2.2050752197511,1.72294513829926
"37","CHE+DHE",11,3,0.0108083247833488,0.00624018922315534,0.17363823953824,0.179878428761395,0.167398050315084
"38","CHE+DHE",18,3,0.0151035728868926,0.00872005187197258,0.196884496386631,0.205604548258603,0.188164444514658
"39","CHE+DHE",24,3,0.0223253298242089,0.0128895351837542,0.26024192167817,0.273131456861924,0.247352386494416
"40","CHE+DHE",38,3,0.0538466543538393,0.0310883803861499,0.47077767328457,0.50186605367072,0.43968929289842
"41","CHE+DHE",46,3,0.0577183955268001,0.0333237311945914,0.818254323196184,0.851578054390775,0.784930592001592
"42","CHE+DHE",54,3,0.136739743592819,0.0789467277722345,0.989853766025641,1.06880049379788,0.910907038253406
"43","CHE+DHE",60,3,0.132460854629364,0.0764763100773513,1.14552043269231,1.22199674276966,1.06904412261496
"44","CHE+DHE",67,3,0.159506333375656,0.0920910245118854,1.30794911858974,1.40004014310163,1.21585809407786
"45","CHE+DHE",70,3,0.13846931257722,0.0799452948909602,1.45365432864626,1.53359962353722,1.3737090337553
"46","DWT",11,4,0.0119668251685049,0.00598341258425247,0.182374359771933,0.188357772356185,0.17639094718768
"47","DWT",18,4,0.0210896939812034,0.0105448469906017,0.230327259165516,0.240872106156118,0.219782412174914
"48","DWT",24,4,0.0323977796993194,0.0161988898496597,0.287370306544643,0.303569196394303,0.271171416694983
"49","DWT",38,4,0.0782425769012397,0.0391212884506199,0.459876707021792,0.498997995472412,0.420755418571172
"50","DWT",46,4,0.0979315498041312,0.0489657749020656,0.619797393476621,0.668763168378687,0.570831618574556
"51","DWT",54,4,0.208534847714406,0.104267423857203,1.02166237194023,1.12592979579743,0.917394948083026
