"","Treatment","Day","survival","n_recruits","area","SE"
"1","CHE","11",1,158,0.12770253164557,0.00435892215227241
"2","CHE","18",0.943396226415094,150,0.150826666666667,0.00536264940586843
"3","CHE","24",0.792452830188679,125,0.168368,0.00679467092891614
"4","CHE","38",0.660377358490566,105,0.279971428571429,0.0151459532739149
"5","CHE","46",0.660377358490566,105,0.451266666666667,0.0295999865937336
"6","CHE","54",0.654088050314465,104,0.549048076923077,0.0376170128092331
"7","CHE","60",0.647798742138365,103,0.63221359223301,0.0458541390234164
"8","CHE","67",0.641509433962264,102,0.731127450980392,0.0538731868594161
"9","CHE","70",0.584905660377358,93,0.835215053763441,0.0706883090631683
"10","CHE+DHE","11",1,209,0.176311004784689,0.00455632960922891
"11","CHE+DHE","18",0.853080568720379,179,0.196385474860335,0.00735460922747877
"12","CHE+DHE","24",0.824644549763033,174,0.261063218390805,0.00982559749371446
"13","CHE+DHE","38",0.758293838862559,160,0.4854125,0.0220764010494017
"14","CHE+DHE","46",0.720379146919431,152,0.836434210526316,0.0356142933451114
"15","CHE+DHE","54",0.549763033175355,116,0.995629310344828,0.0518198435103305
"16","CHE+DHE","60",0.549763033175355,116,1.15664655172414,0.0547954807971301
"17","CHE+DHE","67",0.549763033175355,116,1.29603448275862,0.0606111601381175
"18","CHE+DHE","70",0.530805687203792,112,1.42616071428571,0.0720948801431318
"19","CHE+DWT","11",1,232,0.217353448275862,0.00606468130494281
"20","CHE+DWT","18",0.768240343347639,176,0.240096590909091,0.00705415820530963
"21","CHE+DWT","24",0.622317596566524,144,0.278340277777778,0.0152532466998602
"22","CHE+DWT","38",0.390557939914163,91,0.377197802197802,0.020104368825108
"23","CHE+DWT","46",0.390557939914163,90,0.581022222222222,0.0349025716467998
"24","CHE+DWT","54",0.390557939914163,91,0.788615384615385,0.0460331694639729
"25","CHE+DWT","60",0.390557939914163,90,0.993444444444444,0.059798893327751
"26","CHE+DWT","67",0.390557939914163,90,1.16167777777778,0.0692880611121324
"27","CHE+DWT","70",0.360515021459227,84,1.28845238095238,0.0817129320951694
"28","CWT+DHE","11",1,293,0.171836177474403,0.00568693899628714
"29","CWT+DHE","18",0.890784982935154,261,0.194390804597701,0.00595058754740352
"30","CWT+DHE","24",0.863481228668942,252,0.241619047619048,0.00778028557843229
"31","CWT+DHE","38",0.774744027303754,224,0.468370535714286,0.0186461861504801
"32","CWT+DHE","46",0.535836177474403,154,0.690623376623377,0.0373250075726692
"33","CWT+DHE","54",0.522184300341297,153,0.913366013071895,0.0498557919989298
"34","CWT+DHE","60",0.515358361774744,151,1.02994039735099,0.0567621708369842
"35","CWT+DHE","67",0.515358361774744,148,1.05475675675676,0.0558699740548043
"36","CWT+DHE","70",0.488054607508532,143,1.10701398601399,0.0699236128260863
"37","CWT+DWT","11",1,262,0.188526717557252,0.00488600912935577
"38","CWT+DWT","18",0.888059701492537,236,0.193809322033898,0.00541211530338978
"39","CWT+DWT","24",0.835820895522388,224,0.258660714285714,0.00753277354338227
"40","CWT+DWT","38",0.779850746268657,209,0.476923444976077,0.0189320130062422
"41","CWT+DWT","46",0.779850746268657,209,0.933186602870813,0.0390540721228444
"42","CWT+DWT","54",0.779850746268657,208,1.30877884615385,0.0568364398539716
"43","CWT+DWT","60",0.761194029850746,204,1.65855882352941,0.0690915528198952
"44","CWT+DWT","67",0.753731343283582,201,1.87724875621891,0.0815255631798747
"45","CWT+DWT","70",0.738805970149254,198,1.95949494949495,0.0889627578751308
"46","DHE","11",1,210,0.182152380952381,0.00575112126884225
"47","DHE","18",0.829383886255924,174,0.196028735632184,0.00601778214605731
"48","DHE","24",0.796208530805687,167,0.267700598802395,0.00942628673870354
"49","DHE","38",0.639810426540284,135,0.37982962962963,0.0194151967877312
"50","DHE","46",0.601895734597156,127,0.703062992125984,0.0395374925461812
"51","DHE","54",0.601895734597156,127,0.980133858267716,0.0514035128190119
"52","DHE","60",0.601895734597156,126,1.21703174603175,0.0643974089358555
"53","DHE","67",0.601895734597156,127,1.37212598425197,0.0740439501964587
"54","DHE","70",0.568720379146919,120,1.53554166666667,0.0796832383428647
"55","DWT","11",1,253,0.184169960474308,0.00481785961926344
"56","DWT","18",0.901574803149606,229,0.230205240174672,0.00660696475937657
"57","DWT","24",0.862204724409449,219,0.286392694063927,0.00865905701122869
"58","DWT","38",0.724409448818898,184,0.4555,0.0188548651454505
"59","DWT","46",0.68503937007874,172,0.610459302325581,0.0259885661987992
"60","DWT","54",0.649606299212598,165,0.996006060606061,0.0457879737895485
"61","DWT","60",0.633858267716535,161,1.16257763975155,0.0531595487876816
"62","DWT","67",0.622047244094488,158,1.28648101265823,0.0566941291327394
"63","DWT","70",0.578740157480315,147,1.4041156462585,0.0662221635356499
