"","Recruit_ID","Treatment","Tank","Day","polyp_area","nDay","last"
"1","31","CWT+DHE","T1","11",0.189,11,"False"
"2","52","CWT+DHE","T1","11",0.507,11,"False"
"3","53","CWT+DHE","T1","11",0.42,11,"False"
"4","65","CWT+DHE","T1","11",0.237,11,"False"
"5","78","CWT+DHE","T1","11",0.129,11,"False"
"6","79","CWT+DHE","T1","11",0.053,11,"False"
"7","80","CWT+DHE","T1","11",0.283,11,"False"
"8","81","CWT+DHE","T1","11",0.246,11,"False"
"9","117","CWT+DHE","T1","11",0.265,11,"False"
"10","132","CWT+DHE","T1","11",0.394,11,"False"
"11","137","CWT+DHE","T1","11",0.416,11,"False"
"12","156","CWT+DHE","T1","11",0.354,11,"False"
"13","157","CWT+DHE","T1","11",0.467,11,"False"
"14","1000","CWT+DHE","T1","11",0.312,11,"False"
"15","1001","CWT+DHE","T1","11",0.415,11,"False"
"16","1002","CWT+DHE","T1","11",0.115,11,"False"
"17","1003","CWT+DHE","T1","11",0.138,11,"False"
"18","1005","CWT+DHE","T1","11",0.29,11,"False"
"19","1006","CWT+DHE","T1","11",0.464,11,"False"
"20","1007","CWT+DHE","T1","11",0.395,11,"False"
"21","1008","CWT+DHE","T1","11",0.086,11,"False"
"22","1010","CWT+DHE","T1","11",0.13,11,"False"
"23","1011","CWT+DHE","T1","11",0.467,11,"False"
"24","1013","CWT+DHE","T1","11",0.189,11,"False"
"25","1014","CWT+DHE","T1","11",0.313,11,"False"
"26","1016","CWT+DHE","T1","11",0.17,11,"False"
"27","1017","CWT+DHE","T1","11",0.301,11,"True"
"28","1018","CWT+DHE","T1","11",0.385,11,"True"
"29","1020","CWT+DHE","T1","11",0.147,11,"False"
"30","1021","CWT+DHE","T1","11",0.062,11,"False"
"31","1022","CWT+DHE","T1","11",0.343,11,"True"
"32","1023","CWT+DHE","T1","11",0.33,11,"True"
"33","1024","CWT+DHE","T1","11",0.265,11,"True"
"34","1025","CWT+DHE","T1","11",0.173,11,"True"
"35","164","CWT","T2","11",0.354,11,"False"
"36","165a","CWT","T2","11",0.266,11,"False"
"37","165b","CWT","T2","11",0.248,11,"False"
"38","168","CWT","T2","11",0.353,11,"False"
"39","183","CWT","T2","11",0.265,11,"False"
"40","187","CWT","T2","11",0.396,11,"False"
"41","222","CWT","T2","11",0.24,11,"False"
"42","250","CWT","T2","11",0.269,11,"False"
"43","1026","CWT","T2","11",0.122,11,"False"
"44","1029","CWT","T2","11",0.254,11,"False"
"45","1033","CWT","T2","11",0.099,11,"False"
"46","1034","CWT","T2","11",0.097,11,"False"
