"","Treatment","Tank","Day","count","count_alive","survival"
"1","CHE","T20",11,30,30,1
"2","CHE","T20",18,30,28,0.933333333333333
"3","CHE","T20",24,30,25,0.833333333333333
"4","CHE","T20",38,30,23,0.766666666666667
"5","CHE","T20",46,30,23,0.766666666666667
"6","CHE","T20",54,30,23,0.766666666666667
"7","CHE","T20",60,30,23,0.766666666666667
"8","CHE","T20",67,30,23,0.766666666666667
"9","CHE","T20",70,30,21,0.7
"10","CHE","T22",11,42,42,1
"11","CHE","T22",18,42,41,0.976190476190476
"12","CHE","T22",24,42,37,0.880952380952381
"13","CHE","T22",38,42,34,0.80952380952381
"14","CHE","T22",46,42,34,0.80952380952381
"15","CHE","T22",54,42,34,0.80952380952381
"16","CHE","T22",60,42,34,0.80952380952381
"17","CHE","T22",67,42,34,0.80952380952381
"18","CHE","T22",70,42,32,0.761904761904762
"19","CHE","T30",11,46,46,1
"20","CHE","T30",18,46,43,0.934782608695652
"21","CHE","T30",24,46,33,0.717391304347826
"22","CHE","T30",38,46,21,0.456521739130435
"23","CHE","T30",46,46,21,0.456521739130435
"24","CHE","T30",54,46,21,0.456521739130435
"25","CHE","T30",60,46,21,0.456521739130435
"26","CHE","T30",67,46,21,0.456521739130435
"27","CHE","T30",70,46,16,0.347826086956522
"28","CHE","T7",11,41,41,1
"29","CHE","T7",18,41,38,0.926829268292683
"30","CHE","T7",24,41,31,0.75609756097561
"31","CHE","T7",38,41,27,0.658536585365854
"32","CHE","T7",46,41,27,0.658536585365854
"33","CHE","T7",54,41,26,0.634146341463415
"34","CHE","T7",60,41,25,0.609756097560976
"35","CHE","T7",67,41,24,0.585365853658537
"36","CHE","T7",70,41,24,0.585365853658537
"37","CHE+DHE","T14",11,107,107,1
"38","CHE+DHE","T14",18,107,90,0.841121495327103
"39","CHE+DHE","T14",24,107,89,0.831775700934579
"40","CHE+DHE","T14",38,107,87,0.813084112149533
"41","CHE+DHE","T14",46,107,86,0.803738317757009
"42","CHE+DHE","T14",54,107,64,0.598130841121495
"43","CHE+DHE","T14",60,107,64,0.598130841121495
"44","CHE+DHE","T14",67,107,64,0.598130841121495
"45","CHE+DHE","T14",70,107,62,0.579439252336449
"46","CHE+DHE","T21",11,44,44,1
"47","CHE+DHE","T21",18,44,41,0.931818181818182
"48","CHE+DHE","T21",24,44,39,0.886363636363636
"49","CHE+DHE","T21",38,44,33,0.75
"50","CHE+DHE","T21",46,44,26,0.590909090909091
"51","CHE+DHE","T21",54,44,26,0.590909090909091
"52","CHE+DHE","T21",60,44,26,0.590909090909091
"53","CHE+DHE","T21",67,44,26,0.590909090909091
"54","CHE+DHE","T21",70,44,24,0.545454545454545
"55","CHE+DHE","T6",11,60,60,1
"56","CHE+DHE","T6",18,60,49,0.816666666666667
"57","CHE+DHE","T6",24,60,46,0.766666666666667
"58","CHE+DHE","T6",38,60,40,0.666666666666667
"59","CHE+DHE","T6",46,60,40,0.666666666666667
"60","CHE+DHE","T6",54,60,26,0.433333333333333
"61","CHE+DHE","T6",60,60,26,0.433333333333333
"62","CHE+DHE","T6",67,60,26,0.433333333333333
"63","CHE+DHE","T6",70,60,26,0.433333333333333
"64","CHE+DWT","T12",11,49,49,1
"65","CHE+DWT","T12",18,49,37,0.755102040816326
"66","CHE+DWT","T12",24,49,32,0.653061224489796
"67","CHE+DWT","T12",38,49,13,0.26530612244898
"68","CHE+DWT","T12",46,49,13,0.26530612244898
"69","CHE+DWT","T12",54,49,13,0.26530612244898
"70","CHE+DWT","T12",60,49,13,0.26530612244898
"71","CHE+DWT","T12",67,49,13,0.26530612244898
"72","CHE+DWT","T12",70,49,11,0.224489795918367
"73","CHE+DWT","T28",11,31,31,1
"74","CHE+DWT","T28",18,31,26,0.838709677419355
"75","CHE+DWT","T28",24,31,13,0.419354838709677
"76","CHE+DWT","T28",38,31,10,0.32258064516129
"77","CHE+DWT","T28",46,31,10,0.32258064516129
"78","CHE+DWT","T28",54,31,10,0.32258064516129
"79","CHE+DWT","T28",60,31,10,0.32258064516129
"80","CHE+DWT","T28",67,31,10,0.32258064516129
"81","CHE+DWT","T28",70,31,9,0.290322580645161
"82","CHE+DWT","T29",11,74,74,1
"83","CHE+DWT","T29",18,74,57,0.77027027027027
"84","CHE+DWT","T29",24,74,46,0.621621621621622
"85","CHE+DWT","T29",38,74,31,0.418918918918919
"86","CHE+DWT","T29",46,74,31,0.418918918918919
"87","CHE+DWT","T29",54,74,31,0.418918918918919
"88","CHE+DWT","T29",60,74,31,0.418918918918919
"89","CHE+DWT","T29",67,74,31,0.418918918918919
"90","CHE+DWT","T29",70,74,29,0.391891891891892
"91","CHE+DWT","T5",11,79,79,1
"92","CHE+DWT","T5",18,79,59,0.746835443037975
"93","CHE+DWT","T5",24,79,54,0.683544303797468
"94","CHE+DWT","T5",38,79,37,0.468354430379747
"95","CHE+DWT","T5",46,79,37,0.468354430379747
"96","CHE+DWT","T5",54,79,37,0.468354430379747
"97","CHE+DWT","T5",60,79,37,0.468354430379747
"98","CHE+DWT","T5",67,79,37,0.468354430379747
"99","CHE+DWT","T5",70,79,35,0.443037974683544
"100","CWT+DHE","T1",11,34,34,1
"101","CWT+DHE","T1",18,34,28,0.823529411764706
"102","CWT+DHE","T1",24,34,26,0.764705882352941
"103","CWT+DHE","T1",38,34,17,0.5
"104","CWT+DHE","T1",46,34,16,0.470588235294118
"105","CWT+DHE","T1",54,34,15,0.441176470588235
"106","CWT+DHE","T1",60,34,14,0.411764705882353
"107","CWT+DHE","T1",67,34,14,0.411764705882353
"108","CWT+DHE","T1",70,34,13,0.382352941176471
"109","CWT+DHE","T11",11,88,88,1
"110","CWT+DHE","T11",18,88,79,0.897727272727273
"111","CWT+DHE","T11",24,88,77,0.875
"112","CWT+DHE","T11",38,88,71,0.806818181818182
"113","CWT+DHE","T11",46,88,51,0.579545454545455
"114","CWT+DHE","T11",54,88,49,0.556818181818182
"115","CWT+DHE","T11",60,88,48,0.545454545454545
"116","CWT+DHE","T11",67,88,48,0.545454545454545
"117","CWT+DHE","T11",70,88,45,0.511363636363636
"118","CWT+DHE","T15",11,13,13,1
"119","CWT+DHE","T15",18,13,13,1
"120","CWT+DHE","T15",24,13,12,0.923076923076923
"121","CWT+DHE","T15",38,13,11,0.846153846153846
"122","CWT+DHE","T15",46,13,11,0.846153846153846
