"","sample_name","treatment","genus","plug_label","time_point","plate","group","sum","props"
"1","S1_CheDhe_14.2-72","CheDhe","Durusdinium","S1","S1","plate_4","group12",1546,0.98
"2","S1_CheDhe_21.2-75","CheDhe","Durusdinium","S1","S1","plate_4","group12",5946,0.94
"3","S1_CheDhe_21.3-76","CheDhe","Durusdinium","S1","S1","plate_4","group12",4395,0.87
"4","S1_CheDwt_12.3-82","CheDwt","Durusdinium","S1","S1","plate_4","group10",1050,0.94
"5","S1_CheDwt_29.1-83","CheDwt","Durusdinium","S1","S1","plate_4","group10",1049,0.97
"6","S1_CheDwt_29.3-85","CheDwt","Durusdinium","S1","S1","plate_4","group10",3026,0.95
"7","S1_CheDwt_5.1-86","CheDwt","Durusdinium","S1","S1","plate_4","group10",1409,0.95
"8","S1_CheDwt_5.2-87","CheDwt","Durusdinium","S1","S1","plate_4","group10",1143,1
"9","S1_CheDwt_5.3-88","CheDwt","Durusdinium","S1","S1","plate_4","group10",2771,0.95
"10","S1_CwtDhe_1.2-99","CwtDhe","Durusdinium","S1","S1","plate_4","group12",947,0.86
"11","S1_CwtDhe_1.3-100","CwtDhe","Durusdinium","S1","S1","plate_4","group12",935,0.92
"12","S1_CwtDhe_11.1-101","CwtDhe","Durusdinium","S1","S1","plate_4","group12",6333,0.92
"13","S1_CwtDhe_11.3-103","CwtDhe","Durusdinium","S1","S1","plate_4","group12",3390,0.9
"14","S1_CwtDhe_23.2-105","CwtDhe","Durusdinium","S1","S1","plate_4","group12",4314,0.96
"15","S1_CwtDhe_23.3-106","CwtDhe","Durusdinium","S1","S1","plate_4","group12",1482,0.8
"16","S1_CwtDwt_13.1-107","CwtDwt","Durusdinium","S1","S1","plate_4","group10",1771,0.99
"17","S1_CwtDwt_13.2-108","CwtDwt","Durusdinium","S1","S1","plate_4","group10",6979,0.97
"18","S1_CwtDwt_13.3-109","CwtDwt","Durusdinium","S1","S1","plate_4","group10",4117,0.98
"19","S1_CwtDwt_26.1-110","CwtDwt","Durusdinium","S1","S1","plate_4","group10",1540,0.99
"20","S1_CwtDwt_26.3-112","CwtDwt","Durusdinium","S1","S1","plate_4","group10",1450,0.98
"21","S1_CwtDwt_8.2-114","CwtDwt","Durusdinium","S1","S1","plate_4","group10",2919,0.99
"22","S1_CwtDwt_8.3-115","CwtDwt","Durusdinium","S1","S1","plate_4","group10",7219,0.97
"23","S1_Dhe_3.1-128","Dhe","Durusdinium","S1","S1","plate_4","group11",1037,0.96
"24","S1_Dhe_3.2-129","Dhe","Durusdinium","S1","S1","plate_4","group11",1544,0.99
"25","S1_Dhe_3.3-130","Dhe","Durusdinium","S1","S1","plate_4","group11",10060,0.98
"26","S1_Dhe_9.1-131","Dhe","Durusdinium","S1","S1","plate_4","group11",14467,1
"27","S1_Dwt_10.1-134","Dwt","Durusdinium","S1","S1","plate_4","group11",3376,0.99
"28","S1_Dwt_10.2-135","Dwt","Durusdinium","S1","S1","plate_4","group11",7668,1
"29","S1_Dwt_10.3-136","Dwt","Durusdinium","S1","S1","plate_4","group11",3666,0.99
"30","S1_Dwt_17.3-139","Dwt","Durusdinium","S1","S1","plate_4","group11",5263,0.99
"31","S1_Dwt_18.1-140","Dwt","Durusdinium","S1","S1","plate_4","group11",6224,1
"32","S1_Dwt_18.2-141","Dwt","Durusdinium","S1","S1","plate_4","group11",6079,0.99
"33","S1_Dwt_18.3-142","Dwt","Durusdinium","S1","S1","plate_4","group11",4678,0.98
"34","S2_CheDhe_14.1-143","CheDhe","Durusdinium","S2","S2","plate_5","group16",10548,0.98
"35","S2_CheDhe_14.2-144","CheDhe","Durusdinium","S2","S2","plate_5","group16",5022,0.98
"36","S2_CheDhe_14.3-145","CheDhe","Durusdinium","S2","S2","plate_5","group16",8824,0.98
"37","S2_CheDhe_21.1-146","CheDhe","Durusdinium","S2","S2","plate_5","group16",18527,1
"38","S2_CheDhe_21.2-147","CheDhe","Durusdinium","S2","S2","plate_5","group16",1629,0.89
"39","S2_CheDhe_21.3-148","CheDhe","Durusdinium","S2","S2","plate_5","group16",3209,0.95
"40","S2_CheDhe_6.1-149","CheDhe","Durusdinium","S2","S2","plate_5","group16",8962,0.93
"41","S2_CheDhe_6.2-150","CheDhe","Durusdinium","S2","S2","plate_5","group16",11834,0.88
"42","S2_CheDhe_6.3-151","CheDhe","Durusdinium","S2","S2","plate_5","group16",3620,0.93
"43","S2_CheDwt_28.1-152","CheDwt","Durusdinium","S2","S2","plate_5","group14",19642,1
"44","S2_CheDwt_28.2-153","CheDwt","Durusdinium","S2","S2","plate_5","group14",2383,0.86
"45","S2_CheDwt_29.1-155","CheDwt","Durusdinium","S2","S2","plate_5","group14",3410,0.98
"46","S2_CheDwt_29.2-156","CheDwt","Durusdinium","S2","S2","plate_5","group14",15777,0.98
"47","S2_CheDwt_29.3-157","CheDwt","Durusdinium","S2","S2","plate_5","group14",14166,1
"48","S2_CheDwt_5.3-160","CheDwt","Durusdinium","S2","S2","plate_5","group14",7221,0.99
"49","S2_CwtDhe_1.1-170","CwtDhe","Durusdinium","S2","S2","plate_5","group16",5897,0.88
"50","S2_CwtDhe_1.2-171","CwtDhe","Durusdinium","S2","S2","plate_5","group16",4186,0.92
"51","S2_CwtDhe_11.1-173","CwtDhe","Durusdinium","S2","S2","plate_4","group16",7642,1
"52","S2_CwtDhe_11.2-174","CwtDhe","Durusdinium","S2","S2","plate_4","group16",7965,0.91
"53","S2_CwtDhe_11.3-175","CwtDhe","Durusdinium","S2","S2","plate_5","group16",3251,0.9
"54","S2_CwtDhe_23.1-176","CwtDhe","Durusdinium","S2","S2","plate_4","group16",1465,0.95
"55","S2_CwtDhe_23.2-177","CwtDhe","Durusdinium","S2","S2","plate_4","group16",4390,0.88
"56","S2_CwtDhe_23.3-178","CwtDhe","Durusdinium","S2","S2","plate_4","group16",6879,0.95
"57","S2_CwtDwt_26.2-180","CwtDwt","Durusdinium","S2","S2","plate_4","group14",5845,0.99
"58","S2_CwtDwt_26.3-181","CwtDwt","Durusdinium","S2","S2","plate_4","group14",2442,0.99
"59","S2_CwtDwt_27.1-182","CwtDwt","Durusdinium","S2","S2","plate_4","group14",6023,0.99
"60","S2_CwtDwt_27.2-183","CwtDwt","Durusdinium","S2","S2","plate_4","group14",10924,1
"61","S2_CwtDwt_27.3-184","CwtDwt","Durusdinium","S2","S2","plate_4","group14",10071,0.99
"62","S2_CwtDwt_8.1-185","CwtDwt","Durusdinium","S2","S2","plate_4","group14",8424,1
"63","S2_CwtDwt_8.3-187","CwtDwt","Durusdinium","S2","S2","plate_4","group14",4852,0.99
"64","S2_Dhe_24.1-197","Dhe","Durusdinium","S2","S2","plate_5","group15",11694,0.98
"65","S2_Dhe_24.2-198","Dhe","Durusdinium","S2","S2","plate_5","group15",8961,0.97
"66","S2_Dhe_3.1-200","Dhe","Durusdinium","S2","S2","plate_5","group15",14156,1
"67","S2_Dhe_3.2-201","Dhe","Durusdinium","S2","S2","plate_5","group15",1993,0.93
"68","S2_Dhe_3.3-202","Dhe","Durusdinium","S2","S2","plate_5","group15",2251,0.98
"69","S2_Dhe_9.1-203","Dhe","Durusdinium","S2","S2","plate_5","group15",4497,0.96
"70","S2_Dhe_9.2-204","Dhe","Durusdinium","S2","S2","plate_5","group15",9958,0.98
"71","S2_Dhe_9.3-205","Dhe","Durusdinium","S2","S2","plate_5","group15",22284,1
"72","S2_Dwt_10.1-206","Dwt","Durusdinium","S2","S2","plate_5","group13",5739,0.99
"73","S2_Dwt_10.2-207","Dwt","Durusdinium","S2","S2","plate_5","group13",5374,0.99
"74","S2_Dwt_17.1-209","Dwt","Durusdinium","S2","S2","plate_5","group13",19896,0.99
"75","S2_Dwt_17.2-210","Dwt","Durusdinium","S2","S2","plate_5","group13",14095,0.99
"76","S2_Dwt_17.3-211","Dwt","Durusdinium","S2","S2","plate_5","group13",4245,1
"77","S2_Dwt_18.1-212","Dwt","Durusdinium","S2","S2","plate_5","group13",16717,0.99
"78","S2_Dwt_18.2-213","Dwt","Durusdinium","S2","S2","plate_5","group13",5324,1
"79","S2_Dwt_18.3-214","Dwt","Durusdinium","S2","S2","plate_5","group13",9576,0.99
"80","S3_CheDhe_14.1-215","CheDhe","Durusdinium","S3.2","S3","plate_5","group8",11057,0.93
"81","S3_CheDhe_14.2-216","CheDhe","Durusdinium","S3.2","S3","plate_5","group8",12589,0.84
"82","S3_CheDhe_14.3-217","CheDhe","Durusdinium","S3.2","S3","plate_5","group8",14817,1
"83","S3_CheDhe_21.1-218","CheDhe","Durusdinium","S3.2","S3","plate_6","group8",10580,0.97
"84","S3_CheDhe_21.3-220","CheDhe","Durusdinium","S3.2","S3","plate_6","group8",20232,0.92
"85","S3_CheDhe_6.1-221","CheDhe","Durusdinium","S3.1","S3","plate_5","group4",15969,0.93
"86","S3_CheDhe_6.2-222","CheDhe","Durusdinium","S3.1","S3","plate_5","group4",12838,0.93
"87","S3_CheDhe_6.3-223","CheDhe","Durusdinium","S3.1","S3","plate_5","group4",3586,0.85
"88","S3_CheDwt_12.1-224","CheDwt","Durusdinium","S3.2","S3","plate_6","group6",2519,0.99
"89","S3_CheDwt_12.2-225","CheDwt","Durusdinium","S3.2","S3","plate_6","group6",11810,0.98
"90","S3_CheDwt_12.3-226","CheDwt","Durusdinium","S3.2","S3","plate_6","group6",13387,1
"91","S3_CheDwt_29.1-227","CheDwt","Durusdinium","S3.2","S3","plate_5","group6",15789,0.98
"92","S3_CheDwt_29.2-228","CheDwt","Durusdinium","S3.2","S3","plate_5","group6",5314,0.99
"93","S3_CheDwt_29.3-229","CheDwt","Durusdinium","S3.2","S3","plate_5","group6",6932,0.9
"94","S3_CheDwt_5.1-230","CheDwt","Durusdinium","S3.1","S3","plate_5","group2",15425,1
"95","S3_CheDwt_5.2-231","CheDwt","Durusdinium","S3.1","S3","plate_5","group2",14544,0.99
"96","S3_CheDwt_5.3-232","CheDwt","Durusdinium","S3.1","S3","plate_5","group2",1591,0.98
"97","S3_CwtDhe_11.2-243","CwtDhe","Durusdinium","S3.1","S3","plate_5","group4",6455,0.97
"98","S3_CwtDhe_15.1-245","CwtDhe","Durusdinium","S3.2","S3","plate_6","group8",13846,0.99
"99","S3_CwtDhe_15.3-247","CwtDhe","Durusdinium","S3.2","S3","plate_6","group8",11033,0.99
"100","S3_CwtDhe_23.1-248","CwtDhe","Durusdinium","S3.2","S3","plate_6","group8",7748,0.98
"101","S3_CwtDhe_23.2-249","CwtDhe","Durusdinium","S3.2","S3","plate_6","group8",2942,0.97
"102","S3_CwtDhe_23.3-250","CwtDhe","Durusdinium","S3.2","S3","plate_6","group8",13411,0.99
"103","S3_CwtDwt_26.1-251","CwtDwt","Durusdinium","S3.2","S3","plate_6","group6",7766,0.99
"104","S3_CwtDwt_26.2-252","CwtDwt","Durusdinium","S3.2","S3","plate_6","group6",12389,0.99
"105","S3_CwtDwt_26.3-253","CwtDwt","Durusdinium","S3.2","S3","plate_6","group6",15404,1
"106","S3_CwtDwt_27.1-254","CwtDwt","Durusdinium","S3.2","S3","plate_5","group6",10083,0.99
"107","S3_CwtDwt_27.2-255","CwtDwt","Durusdinium","S3.2","S3","plate_5","group6",9232,0.98
"108","S3_CwtDwt_27.3-256","CwtDwt","Durusdinium","S3.2","S3","plate_5","group6",19353,1
"109","S3_CwtDwt_8.3-259","CwtDwt","Durusdinium","S3.1","S3","plate_5","group2",7885,0.98
"110","S3_Dhe_24.2-270","Dhe","Durusdinium","S3.2","S3","plate_6","group7",2090,0.99
"111","S3_Dhe_24.3-271","Dhe","Durusdinium","S3.2","S3","plate_6","group7",9546,0.99
"112","S3_Dhe_3.1-272","Dhe","Durusdinium","S3.1","S3","plate_5","group3",5211,0.97
"113","S3_Dhe_3.2-273","Dhe","Durusdinium","S3.1","S3","plate_5","group3",11210,0.97
"114","S3_Dhe_3.3-274","Dhe","Durusdinium","S3.1","S3","plate_5","group3",17648,1
"115","S3_Dhe_9.1-275","Dhe","Durusdinium","S3.2","S3","plate_6","group7",14800,0.99
"116","S3_Dhe_9.2-276","Dhe","Durusdinium","S3.2","S3","plate_6","group7",20146,1
"117","S3_Dhe_9.3-277","Dhe","Durusdinium","S3.2","S3","plate_6","group7",14332,0.99
"118","S3_Dwt_17.1-278","Dwt","Durusdinium","S3.2","S3","plate_5","group5",11275,0.99
"119","S3_Dwt_17.2-279","Dwt","Durusdinium","S3.2","S3","plate_6","group5",1574,0.99
"120","S3_Dwt_17.3-280","Dwt","Durusdinium","S3.2","S3","plate_6","group5",2875,0.99
"121","S3_Dwt_18.1-281","Dwt","Durusdinium","S3.1","S3","plate_5","group1",11910,0.99
"122","S3_Dwt_18.2-282","Dwt","Durusdinium","S3.1","S3","plate_5","group1",5265,0.99
"123","S3_Dwt_18.3-283","Dwt","Durusdinium","S3.1","S3","plate_5","group1",11403,0.98
"124","S3_Dwt_25.1-284","Dwt","Durusdinium","S3.1","S3","plate_5","group1",26036,1
