"","sample_name","treatment","genus","plug_label","time_point","plate","group","sum","props"
"1","S1_CheDhe_14.2-72","CheDhe","Cladocopium","S1","S1","plate_4","group12",27,0.02
"2","S1_CheDhe_21.2-75","CheDhe","Cladocopium","S1","S1","plate_4","group12",376,0.06
"3","S1_CheDhe_21.3-76","CheDhe","Cladocopium","S1","S1","plate_4","group12",639,0.13
"4","S1_CheDwt_12.3-82","CheDwt","Cladocopium","S1","S1","plate_4","group10",63,0.06
"5","S1_CheDwt_29.1-83","CheDwt","Cladocopium","S1","S1","plate_4","group10",32,0.03
"6","S1_CheDwt_29.3-85","CheDwt","Cladocopium","S1","S1","plate_4","group10",149,0.05
"7","S1_CheDwt_5.1-86","CheDwt","Cladocopium","S1","S1","plate_4","group10",68,0.05
"8","S1_CheDwt_5.3-88","CheDwt","Cladocopium","S1","S1","plate_4","group10",134,0.05
"9","S1_CwtDhe_1.2-99","CwtDhe","Cladocopium","S1","S1","plate_4","group12",136,0.12
"10","S1_CwtDhe_1.3-100","CwtDhe","Cladocopium","S1","S1","plate_4","group12",57,0.06
"11","S1_CwtDhe_11.1-101","CwtDhe","Cladocopium","S1","S1","plate_4","group12",525,0.08
"12","S1_CwtDhe_11.3-103","CwtDhe","Cladocopium","S1","S1","plate_4","group12",396,0.1
"13","S1_CwtDhe_23.2-105","CwtDhe","Cladocopium","S1","S1","plate_4","group12",175,0.04
"14","S1_CwtDhe_23.3-106","CwtDhe","Cladocopium","S1","S1","plate_4","group12",371,0.2
"15","S1_CwtDwt_13.1-107","CwtDwt","Cladocopium","S1","S1","plate_4","group10",9,0.01
"16","S1_CwtDwt_13.2-108","CwtDwt","Cladocopium","S1","S1","plate_4","group10",232,0.03
"17","S1_CwtDwt_13.3-109","CwtDwt","Cladocopium","S1","S1","plate_4","group10",85,0.02
"18","S1_CwtDwt_26.1-110","CwtDwt","Cladocopium","S1","S1","plate_4","group10",20,0.01
"19","S1_CwtDwt_26.3-112","CwtDwt","Cladocopium","S1","S1","plate_4","group10",33,0.02
"20","S1_CwtDwt_8.2-114","CwtDwt","Cladocopium","S1","S1","plate_4","group10",36,0.01
"21","S1_CwtDwt_8.3-115","CwtDwt","Cladocopium","S1","S1","plate_4","group10",113,0.02
"22","S1_Dhe_3.1-128","Dhe","Cladocopium","S1","S1","plate_4","group11",38,0.04
"23","S1_Dhe_3.2-129","Dhe","Cladocopium","S1","S1","plate_4","group11",16,0.01
"24","S1_Dhe_3.3-130","Dhe","Cladocopium","S1","S1","plate_4","group11",236,0.02
"25","S1_Dhe_9.1-131","Dhe","Cladocopium","S1","S1","plate_4","group11",59,0
"26","S1_Dwt_10.1-134","Dwt","Cladocopium","S1","S1","plate_4","group11",20,0.01
"27","S1_Dwt_10.3-136","Dwt","Cladocopium","S1","S1","plate_4","group11",38,0.01
"28","S1_Dwt_17.3-139","Dwt","Cladocopium","S1","S1","plate_4","group11",35,0.01
"29","S1_Dwt_18.1-140","Dwt","Cladocopium","S1","S1","plate_4","group11",7,0
"30","S1_Dwt_18.2-141","Dwt","Cladocopium","S1","S1","plate_4","group11",53,0.01
"31","S1_Dwt_18.3-142","Dwt","Cladocopium","S1","S1","plate_4","group11",41,0.01
"32","S2_CheDhe_14.1-143","CheDhe","Cladocopium","S2","S2","plate_5","group16",171,0.02
"33","S2_CheDhe_14.2-144","CheDhe","Cladocopium","S2","S2","plate_5","group16",116,0.02
"34","S2_CheDhe_14.3-145","CheDhe","Cladocopium","S2","S2","plate_5","group16",212,0.02
"35","S2_CheDhe_21.2-147","CheDhe","Cladocopium","S2","S2","plate_5","group16",207,0.11
"36","S2_CheDhe_21.3-148","CheDhe","Cladocopium","S2","S2","plate_5","group16",153,0.05
"37","S2_CheDhe_6.1-149","CheDhe","Cladocopium","S2","S2","plate_5","group16",708,0.07
"38","S2_CheDhe_6.2-150","CheDhe","Cladocopium","S2","S2","plate_5","group16",1638,0.12
"39","S2_CheDhe_6.3-151","CheDhe","Cladocopium","S2","S2","plate_5","group16",265,0.07
"40","S2_CheDwt_28.1-152","CheDwt","Cladocopium","S2","S2","plate_5","group14",12,0
"41","S2_CheDwt_28.2-153","CheDwt","Cladocopium","S2","S2","plate_5","group14",390,0.14
"42","S2_CheDwt_29.1-155","CheDwt","Cladocopium","S2","S2","plate_5","group14",67,0.02
"43","S2_CheDwt_29.2-156","CheDwt","Cladocopium","S2","S2","plate_5","group14",284,0.02
"44","S2_CheDwt_29.3-157","CheDwt","Cladocopium","S2","S2","plate_5","group14",20,0
"45","S2_CheDwt_5.3-160","CheDwt","Cladocopium","S2","S2","plate_5","group14",74,0.01
"46","S2_CwtDhe_1.1-170","CwtDhe","Cladocopium","S2","S2","plate_5","group16",796,0.12
"47","S2_CwtDhe_1.2-171","CwtDhe","Cladocopium","S2","S2","plate_5","group16",387,0.08
"48","S2_CwtDhe_11.1-173","CwtDhe","Cladocopium","S2","S2","plate_4","group16",10,0
"49","S2_CwtDhe_11.2-174","CwtDhe","Cladocopium","S2","S2","plate_4","group16",768,0.09
"50","S2_CwtDhe_11.3-175","CwtDhe","Cladocopium","S2","S2","plate_5","group16",379,0.1
"51","S2_CwtDhe_23.1-176","CwtDhe","Cladocopium","S2","S2","plate_4","group16",77,0.05
"52","S2_CwtDhe_23.2-177","CwtDhe","Cladocopium","S2","S2","plate_4","group16",603,0.12
"53","S2_CwtDhe_23.3-178","CwtDhe","Cladocopium","S2","S2","plate_4","group16",342,0.05
"54","S2_CwtDwt_26.2-180","CwtDwt","Cladocopium","S2","S2","plate_4","group14",87,0.01
"55","S2_CwtDwt_26.3-181","CwtDwt","Cladocopium","S2","S2","plate_4","group14",17,0.01
