"","sample_name","treatment","genus","plug_label","time_point","plate","group","sum","props","adj"
"1","S1_CheDhe_14.2-72","CheDhe","Cladocopium","S1","S1","plate_4","group12",27,1e-05,0
"2","S1_CheDhe_21.2-75","CheDhe","Cladocopium","S1","S1","plate_4","group12",376,0.06,349
"3","S1_CheDhe_21.3-76","CheDhe","Cladocopium","S1","S1","plate_4","group12",639,0.12,612
"4","S1_CheDwt_12.3-82","CheDwt","Cladocopium","S1","S1","plate_4","group10",63,0.04,36
"5","S1_CheDwt_29.1-83","CheDwt","Cladocopium","S1","S1","plate_4","group10",32,0.01,5
"6","S1_CheDwt_29.3-85","CheDwt","Cladocopium","S1","S1","plate_4","group10",149,0.04,122
"7","S1_CheDwt_5.1-86","CheDwt","Cladocopium","S1","S1","plate_4","group10",68,0.03,41
"8","S1_CheDwt_5.3-88","CheDwt","Cladocopium","S1","S1","plate_4","group10",134,0.04,107
"9","S1_CwtDhe_1.2-99","CwtDhe","Cladocopium","S1","S1","plate_4","group12",136,0.11,109
"10","S1_CwtDhe_1.3-100","CwtDhe","Cladocopium","S1","S1","plate_4","group12",57,0.03,30
"11","S1_CwtDhe_11.1-101","CwtDhe","Cladocopium","S1","S1","plate_4","group12",525,0.07,498
"12","S1_CwtDhe_11.3-103","CwtDhe","Cladocopium","S1","S1","plate_4","group12",396,0.1,369
"13","S1_CwtDhe_23.2-105","CwtDhe","Cladocopium","S1","S1","plate_4","group12",175,0.03,148
"14","S1_CwtDhe_23.3-106","CwtDhe","Cladocopium","S1","S1","plate_4","group12",371,0.2,344
"15","S1_CwtDwt_13.1-107","CwtDwt","Cladocopium","S1","S1","plate_4","group10",9,1e-05,0
"16","S1_CwtDwt_13.2-108","CwtDwt","Cladocopium","S1","S1","plate_4","group10",232,0.03,205
"17","S1_CwtDwt_13.3-109","CwtDwt","Cladocopium","S1","S1","plate_4","group10",85,0.01,58
"18","S1_CwtDwt_26.1-110","CwtDwt","Cladocopium","S1","S1","plate_4","group10",20,1e-05,0
"19","S1_CwtDwt_26.3-112","CwtDwt","Cladocopium","S1","S1","plate_4","group10",33,1e-05,6
"20","S1_CwtDwt_8.2-114","CwtDwt","Cladocopium","S1","S1","plate_4","group10",36,1e-05,9
"21","S1_CwtDwt_8.3-115","CwtDwt","Cladocopium","S1","S1","plate_4","group10",113,0.01,86
"22","S2_CheDhe_14.1-143","CheDhe","Cladocopium","S2","S2","plate_5","group16",171,0.01,83
"23","S2_CheDhe_14.2-144","CheDhe","Cladocopium","S2","S2","plate_5","group16",116,0.01,28
"24","S2_CheDhe_14.3-145","CheDhe","Cladocopium","S2","S2","plate_5","group16",212,0.01,124
"25","S2_CheDhe_21.2-147","CheDhe","Cladocopium","S2","S2","plate_5","group16",207,0.07,119
"26","S2_CheDhe_21.3-148","CheDhe","Cladocopium","S2","S2","plate_5","group16",153,0.02,65
"27","S2_CheDhe_6.1-149","CheDhe","Cladocopium","S2","S2","plate_5","group16",708,0.07,620
